INDIC,TAMIL
அகஸ்மாத்து,தற்செயல்
ஆஜர்,வருகை
அந்தஸ்து,நிலைமை
கூஜா,தூக்கு
ஆஸ்தி,செல்வம்
ஸ்ரீலஸ்ரீ,தவத்திரு
விவாஹம்,திருமணம்
வாலிபம்,இளமை
விக்ரஹம்,திருவுருவம்
க்ஷேத்திரம்,திருத்தலம்
மாமிசம்,இறைச்சி
மாமிசம்,ஊன்
பிரஸாதம்,திருப்பொருள்
பிரஸாதம்,திருவமுது
பிரயாணம்,பயணம்
பிரயாணி,பயணி
பதிவிரதை,கற்புடையாள்
பதிவிரதை,கற்புடையான்
பஜனை,குழுப்பாடல்
பிரகாரம்,திருச்சுற்று
பிரதட்சணம்,வலம்வருதல்
அங்கப் பிரதட்சணம்,மெய் வலம்வரல்
மத்தியானம்,நண்பகல்
சாயந்திரம்,மாலை
நடு ஜாமம்,நள்ளிரவு
பெளர்ணமி,முழுமதி
அமாவாசை,இல்மதி
சூட்சுமம்,நுட்பம்
சுவீகாரம்,தத்து
சுபாவம்,இயல்பு
சமீபம்,அண்மை
சம்பிரதாயம்,மரபு
சரணம்,தஞ்சம்
சாஸ்வதம்,நிலையான
சீமந்தம்,முதற்சூல்
கேஷியர்,காசாளர்
குஷ்டம்,தொழுநோய்
குஷ்ட ரோகம்,தொழுநோய்
கிராமம்,சிற்றூர்
டவுன்,பேரூர்
உத்தியோகம்,பணி
உத்தியோகம்,அலுவல்
உதாரணம்,சான்று
உதாரணம்,காட்டு
உதாரணம்,எடுத்துக்காட்டு
லட்சம்,நூறாயிரம்
அகங்காரம்,செருக்கு
அங்கத்தினர்,உறுப்பினர்
அபிப்ராயம்,கருத்து
குமாஸ்தா,அலுவலர்
அவரோஹணம்,அமரோசை
அவரோஹணம்,இறங்குநிரல்
அவரோஹணம்,இறங்குவரிசை
அவரோஹணம்,இறங்கோசை
ஆரோஹணம்,ஆரோசை
ஆரோஹணம்,ஏறுநிரல்
ஆரோஹணம்,ஏறுவரிசை
ஆரோஹணம்,ஏறோசை
துஷ்பிரயோகம்,தவறான பயன்பாடு
துஷ்பிரயோகம்,தீய பயன்பாடு
ஜலதோஷம்,தடிமன்
ஜலதோஷம்,சளி
ஜாமீன்,பிணை
சபாநாயகர்,அவைத்தலைவர்
கஜம்,இரு முழம்
பெளதீகம்,இயற்பியல்
ரசாயணம்,வேதியியல்
அனுஜன்,தம்பி
பூர்வஜன்,அண்ணன்
ஜாலம்,வித்தை
ஈஸ்வரன்,ஈசன்
அதிருஷ்டம்,நற்பேறு
அதிருஷ்டம்,நல்லூழ்
அபூர்வம்,அரிது
அபூர்வம்,அரிய
அவசியம்,தேவை
அனுஷ்டி,கடைப்பிடி
அனுஷ்டி,கைக்கொள்
ஆட்சேபணை,எதிர்ப்பு
உவமானம்,உவமை
அந்தரங்கம்,தனிப்பட்ட
உபவாசம்,உண்ணா நோன்பு
விரதம்,நோன்பு
உற்சவம்,விழா
கஷாயம்,மருந்துநீர்
கஷாயம்,கருக்கு
கச்சேரி,அரங்கிசை
கஸ்தூரி,காசறை
சகலம்,எல்லாம்
சரீரம்,உடம்பு
சாரீரம்,குரல்
சங்கீதம்,இசை
சங்கடம்,துன்பம்
சங்கடம்,இடர்
சக்கரவர்த்தி,பேரரசர்
சந்தேகம்,ஐயம்
சம்பூரணம்,முழுமை
சம்பூரணம்,நிறைவு
சன்மார்க்கம்,நன்னெறி
சிசு,குழந்தை
சிசு,மகவு
சிச்ருஷை,பணிவிடை
