INDIC,TAMIL
மந்திரம்,மறைமொழி
அத்திபாரம்,கடைக்கால்
ஆயுள்,வாழ்நாள்
சம்பந்தம்,பொருத்தம்
அப்பிராணி,கரவிலான்
அத்தியாவசியம்,இன்றியமையாத
விஷயம்,பொருள்
சவுகரியம்,நலம்
சௌரமானம்,பகல் வழியளவு
சிங்காரம்,ஒப்பனை
சில்மிஷம்,குறும்பு
நியதி,முறை
அநியாயம்,முறையின்மை
இச்சை,அவா
தரித்திரம்,இன்மை
சுக்கிரவாரம்,வெள்ளிக்கிழமை
பிரகடனம்,விளம்பரம்
மந்தம்,செரியாமை
அகிலம்,வையம்
சகவாசம்,கூடவிருத்தல்
மாதாந்தம்,திங்களிறுதி
அபயம்,அடைக்கலம்
கிருஷி,உழவு
நிரந்தரம்,நிலையான
தியாகம்,கொடை
பூசை,வணக்கம்
விஸ்தீரணம்,பரப்பளவு
ஆச்சரியம்,இறும்பூது
அஞ்சனம்,மை
புத்திரன்,புதல்வன்
சம்மதம்,ஒப்பு
கலாசாலை,கல்லூரி
இராணுவம்,போர்ப்படை
யோக்கியதை,தகுதி
கைங்கரியம்,தொண்டு
ஆவசியம்,முதன்மை
இலாடம்,காற்பரளை
பிரதிதினம்,ஒவ்வொரு நாளும்
அந்தரம்,வெளி
பந்த்,கடையடைப்பு
பாடாணம்,நஞ்சு
அக்கினி,நெருப்பு
கண்டம்,துண்டு
பிராணவாயு,உயிர்க்காற்று
பண்டிதன்,மருத்துவன்
விஜயம்,வெற்றி
காயம்,வான்
கிரகம்,கோள்
ஈடணம்,விருப்பம்
மாஜி,முன்னாள்
கீர்த்தி,புகழ்
பாக்கியம்,செல்வம்
அம்சம்,அன்னப்புள்
இரசம்,சாறு
சிக்ஷை,கல்வி பயிற்றல்
சகசம்,ஒற்றுமை
சம்சயம்,ஐயம்
யாத்திரை,பயணம்
ஆகாரம்,அடிசில்
யதேஷ்டம்,மிகுதி
தேசசு,ஒளி
வயோதிகம்,முதுமை
வண்ணம்,நிறம்
பாக்கியம்,நல்வினை
குரூரம்,தறுகண்
நியமனம்,கட்டளை
அகிம்சை,கொல்லாமை
குரோதம்,உட்பகை
