INDIC,TAMIL
தயார்,ஆயத்தம்
சாவி,திறவுகோல்
ஸ்தம்பித்தல்,"திகைத்தல்,செயலற்று நிற்றல்"
வஸ்திரம்,ஆடை
ஸ்திரம்,நிலையானது
ஜட்டி,"கீழாடை,உள்ளாடை,இடை ஆடை"
கிருகம்,மனை
சிஷ்யன்,மாணவன்
நாமம்,பெயர்
ஷிரார்த்தம்/தர்ப்பணம்,நீர்க்கடன்
ரிஷி,"துறவி,அடிகள்"
ஸ்நேகம்,நட்பு
ஸ்தலம்,இடம்
ரௌத்திரம்,சினம்
அஷ்டம,எட்டு
கோஷ்டி,கூட்டம்/குழாம்
ஸாமான்,பொருள்
கிருபை,அருள்
தாஸ்/தாசன்,"அடிமை,அடியவர்"
ஸ்வர்ணம்/சொர்ணம்,"தங்கம்,பொன்"
ஷியாமள,கருமை
ஸ்திரீ,பெண்
மாங்கல்யம்,தாலி
இரசம்,சாறு
கமலம்,தாமரை
பத்ம,தாமரை
கிருஷ்ணன்,கண்ணன்
ஐஸ்வர்யம்,செல்வம்
பக்ஷணம் / பட்சணம்,உணவு/பலகாரம்
சதுர்,நான்கு
வேதம்,மறை
மோட்சம்/சுவர்கம்,வீடுபேறு
பாஜகம்,உணவு
பட்ஷி/பக்ஷி/பட்சி,பறவை
ரிஷபம்/ரிடபம்,காளை
கீர்த்தி,புகழ்
உபந்நியாசம்,விரிவுரை/சமய சொற்பொழிவு
த்வேஷம்,பகை
துவம்சம்,அழித்தல்
ரஸம்,உணர்வு
ஜெகம்,உலகம்
அக்ரஹாரம்,தெரு/வீதி
தரிசனம்/தர்ஷன்,காட்சி
நாஷ்டா,சிற்றுண்டி
ஆசனம்,இருக்கை
இராச்சியம்/இராஜ்ஜியம்,நாடு
உத்சவம்,ஊருலா/ஊர் உலா
கரகோஷம்,கரவொலி
சரஸ்வதி,கலைமகள்
ஆஷ்ரம்,தவக்குடில்
பந்தம்,பிணைப்பு
இராகம்,இசை/பண்
விமானம்,வான ஊர்தி/வானூர்தி
பிராமணர்,"பார்ப்பனர்,அந்தணர்"
மார்க்கம்,வழி/நெறி
திருஷ்டி,"பார்வை/ நோக்குதல்,கண்ணெச்சில்,கண்ணேறு,அந்திக்காப்பு"
காயம்,உடல்
குரோதம்,சினம்/பகை
லீலை,விளையாட்டு
மகா,மா/பெரிய
சத்தியம்,வாய்மை
சர்வம்,எல்லாம்
சாந்தி,அமைதி
பிராணயாமம்,மூச்சுப் பயிற்சி
பவித்ரம்,தூய்மை
நித்யம்,"நிலைத்த,முடிவில்லாத"
நரகம்,அளறு
விஜயம்,வருகை
ராக்ஷசன்/ ராட்சசன்,அசுரன்/நரகன்
ஏகம்/ஏக,ஒன்று
த்ரி,மூன்று
சூன்யம்/சூன்ய,வெறுமை/சுழி
பஞ்ச -,ஐந்து
ஸப்த,ஏழு
தச,பத்து
அசலம்,மலை
ஆகாசம்,வான்வெளி
ஆர்த்தி,தீபம்/ஒளி
ஷ்ரவணம்,ஆவணி/திருவோணம்
ப்ரியம்,அன்பு/விருப்பம்
சர்ப்பம்,நாகம்/பாம்பு
ரூபம்,வடிவம்/உருவம்
பகவான்,இறைவன்
நிரோதம்,கட்டுப்பாடு
கீதம்,பாடல்
ஜெய்,வெற்றி
கும்பம்,பானை/குடம்
விஜய்,வெற்றி
சுப்ரபாதம்,திருப்பள்ளியெழுச்சி
ஆபரணம்,அணிகலன்
விருட்சம்,மரம்
சௌக்கியம்,நலம்
சரித்திரம்,வரலாறு
உதாசீனம்,"அசட்டை,கவனியாமை"
சகாயம்,உதவி
ஸ்பஷ்டமாக,தெளிவாக
ஆரம்பம்,துவக்கம்
